Timestamp,ActivityID,ActivityState,ObjectState,ActivityLabel,object
1970-01-01 00:00:00.000000,2f93b299-9106-4428-a567-ad533858a663,START,"{'container level': 50, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:04:00.000000,2f93b299-9106-4428-a567-ad533858a663,STOP,"{'container level': 49, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:04:00.000000,76f0a2a5-e26c-405b-873b-f1714c6fc15b,START,"{'container level': 49, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:08:00.000000,76f0a2a5-e26c-405b-873b-f1714c6fc15b,STOP,"{'container level': 48, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:10:00.000000,887884df-4cb4-40b3-a728-1f7491e2724c,START,"{'container level': 48, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:14:00.000000,887884df-4cb4-40b3-a728-1f7491e2724c,STOP,"{'container level': 47, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:16:00.000000,4bd270c2-9154-4bcc-9ab9-3e4a6c5c74ae,START,"{'container level': 47, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:20:00.000000,4bd270c2-9154-4bcc-9ab9-3e4a6c5c74ae,STOP,"{'container level': 46, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:22:00.000000,7ed7b068-91de-4277-b9a2-02e3bb8afc23,START,"{'container level': 46, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:26:00.000000,7ed7b068-91de-4277-b9a2-02e3bb8afc23,STOP,"{'container level': 45, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:28:00.000000,935d0a48-799c-4cc4-aff0-055e47f29efe,START,"{'container level': 45, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:32:00.000000,935d0a48-799c-4cc4-aff0-055e47f29efe,STOP,"{'container level': 44, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:34:00.000000,13449fb0-4031-41a7-8d1f-01f8a591eaa5,START,"{'container level': 44, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:38:00.000000,13449fb0-4031-41a7-8d1f-01f8a591eaa5,STOP,"{'container level': 43, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:40:00.000000,ec9b1c07-3ca8-4937-ba8a-28c5c5e0d9af,START,"{'container level': 43, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:44:00.000000,ec9b1c07-3ca8-4937-ba8a-28c5c5e0d9af,STOP,"{'container level': 42, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:46:00.000000,fc150c8e-bf95-4f23-9cbe-95b9461ff71f,START,"{'container level': 42, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:50:00.000000,fc150c8e-bf95-4f23-9cbe-95b9461ff71f,STOP,"{'container level': 41, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:52:00.000000,7ee95106-8387-44a7-91d8-112bce223887,START,"{'container level': 41, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:56:00.000000,7ee95106-8387-44a7-91d8-112bce223887,STOP,"{'container level': 40, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:58:00.000000,b2fdc5e2-722c-4895-9088-7d1abe7a6276,START,"{'container level': 40, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:02:00.000000,b2fdc5e2-722c-4895-9088-7d1abe7a6276,STOP,"{'container level': 39, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:04:00.000000,88a86e73-ff77-426c-bca6-c2a1ca9396d4,START,"{'container level': 39, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:08:00.000000,88a86e73-ff77-426c-bca6-c2a1ca9396d4,STOP,"{'container level': 38, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:10:00.000000,4553700a-eef3-4a10-9bc8-f0e1381dc3f6,START,"{'container level': 38, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:14:00.000000,4553700a-eef3-4a10-9bc8-f0e1381dc3f6,STOP,"{'container level': 37, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:16:00.000000,476e924b-b6e2-420d-a3a4-0060c2a32cca,START,"{'container level': 37, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:20:00.000000,476e924b-b6e2-420d-a3a4-0060c2a32cca,STOP,"{'container level': 36, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:22:00.000000,225969b2-1745-4d75-a9c3-76000b097450,START,"{'container level': 36, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:26:00.000000,225969b2-1745-4d75-a9c3-76000b097450,STOP,"{'container level': 35, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:28:00.000000,b86be5d3-b785-4d52-9a9b-d67f5e8bc501,START,"{'container level': 35, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:32:00.000000,b86be5d3-b785-4d52-9a9b-d67f5e8bc501,STOP,"{'container level': 34, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:34:00.000000,efea8537-1016-4dfc-9d60-2014454d025b,START,"{'container level': 34, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:38:00.000000,efea8537-1016-4dfc-9d60-2014454d025b,STOP,"{'container level': 33, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:40:00.000000,40e4a2b5-8aaa-4443-966c-5ce6625ce738,START,"{'container level': 33, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:44:00.000000,40e4a2b5-8aaa-4443-966c-5ce6625ce738,STOP,"{'container level': 32, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:46:00.000000,df7c7338-de85-4182-839c-584b0aa5bcb7,START,"{'container level': 32, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:50:00.000000,df7c7338-de85-4182-839c-584b0aa5bcb7,STOP,"{'container level': 31, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:52:00.000000,702fbc6e-db1b-4a70-96f2-bb5d896bc7f9,START,"{'container level': 31, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:56:00.000000,702fbc6e-db1b-4a70-96f2-bb5d896bc7f9,STOP,"{'container level': 30, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:58:00.000000,8f418cf3-2f86-4281-bb80-d8a1baa7df2c,START,"{'container level': 30, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 02:02:00.000000,8f418cf3-2f86-4281-bb80-d8a1baa7df2c,STOP,"{'container level': 29, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
