teu_id,pm_name,qc_discharge_wait_start,qc_discharge_wait_stop,qc_discharge_start,qc_discharge_stop,pm_load_wait_start,pm_load_wait_stop,pm_load_start,pm_load_stop,pm_travel_to_yard_wait_start,pm_travel_to_yard_wait_stop,pm_travel_to_yard_start,pm_travel_to_yard_stop,pm_unload_wait_start,pm_unload_wait_stop,pm_unload_start,pm_unload_stop,pm_return_wait_start,pm_return_wait_stop,pm_return_start,pm_return_stop
1,pm_01,,,01-01-70 00:00,01-01-70 00:04,01-01-70,01-01-70 00:04,01-01-70 00:08,01-01-70 00:10,,,01-01-70 00:10,10:11.0,,,10:11.0,12:11.0,,,12:11.0,12:22.0
2,pm_02,,,01-01-70 00:04,01-01-70 00:08,01-01-70,01-01-70 00:08,01-01-70 00:14,01-01-70 00:16,,,01-01-70 00:16,16:11.0,,,16:11.0,18:11.0,,,18:11.0,18:22.0
3,pm_03,,,01-01-70 00:10,01-01-70 00:14,01-01-70,01-01-70 00:14,01-01-70 00:20,01-01-70 00:22,,,01-01-70 00:22,22:11.0,,,22:11.0,24:11.0,,,24:11.0,24:22.0
4,pm_04,,,01-01-70 00:16,01-01-70 00:20,01-01-70,01-01-70 00:20,01-01-70 00:26,01-01-70 00:28,,,01-01-70 00:28,28:11.0,,,28:11.0,30:11.0,,,30:11.0,30:22.0
5,pm_05,,,01-01-70 00:22,01-01-70 00:26,01-01-70,01-01-70 00:26,01-01-70 00:32,01-01-70 00:34,,,01-01-70 00:34,34:11.0,,,34:11.0,36:11.0,,,36:11.0,36:22.0
6,pm_06,,,01-01-70 00:28,01-01-70 00:32,01-01-70,01-01-70 00:32,01-01-70 00:38,01-01-70 00:40,,,01-01-70 00:40,40:11.0,,,40:11.0,42:11.0,,,42:11.0,42:22.0
7,pm_07,,,01-01-70 00:34,01-01-70 00:38,01-01-70,01-01-70 00:38,01-01-70 00:44,01-01-70 00:46,,,01-01-70 00:46,46:11.0,,,46:11.0,48:11.0,,,48:11.0,48:22.0
8,pm_08,,,01-01-70 00:40,01-01-70 00:44,01-01-70,01-01-70 00:44,01-01-70 00:50,01-01-70 00:52,,,01-01-70 00:52,52:11.0,,,52:11.0,54:11.0,,,54:11.0,54:22.0
9,pm_09,,,01-01-70 00:46,01-01-70 00:50,01-01-70,01-01-70 00:50,01-01-70 00:56,01-01-70 00:58,,,01-01-70 00:58,58:11.0,,,58:11.0,00:11.0,,,00:11.0,00:22.0
10,pm_10,,,01-01-70 00:52,01-01-70 00:56,01-01-70,01-01-70 00:56,01-01-70 01:02,01-01-70 01:04,,,01-01-70 01:04,04:11.0,,,04:11.0,06:11.0,,,06:11.0,06:22.0
11,pm_01,,,01-01-70 00:58,01-01-70 01:02,01-01-70,01-01-70 01:02,01-01-70 01:08,01-01-70 01:10,,,01-01-70 01:10,10:11.0,,,10:11.0,12:11.0,,,12:11.0,12:22.0
12,pm_02,,,01-01-70 01:04,01-01-70 01:08,01-01-70,01-01-70 01:08,01-01-70 01:14,01-01-70 01:16,,,01-01-70 01:16,16:11.0,,,16:11.0,18:11.0,,,18:11.0,18:22.0
13,pm_03,,,01-01-70 01:10,01-01-70 01:14,01-01-70,01-01-70 01:14,01-01-70 01:20,01-01-70 01:22,,,01-01-70 01:22,22:11.0,,,22:11.0,24:11.0,,,24:11.0,24:22.0
14,pm_04,,,01-01-70 01:16,01-01-70 01:20,01-01-70,01-01-70 01:20,01-01-70 01:26,01-01-70 01:28,,,01-01-70 01:28,28:11.0,,,28:11.0,30:11.0,,,30:11.0,30:22.0
15,pm_05,,,01-01-70 01:22,01-01-70 01:26,01-01-70,01-01-70 01:26,01-01-70 01:32,01-01-70 01:34,,,01-01-70 01:34,34:11.0,,,34:11.0,36:11.0,,,36:11.0,36:22.0
16,pm_06,,,01-01-70 01:28,01-01-70 01:32,01-01-70,01-01-70 01:32,01-01-70 01:38,01-01-70 01:40,,,01-01-70 01:40,40:11.0,,,40:11.0,42:11.0,,,42:11.0,42:22.0
17,pm_07,,,01-01-70 01:34,01-01-70 01:38,01-01-70,01-01-70 01:38,01-01-70 01:44,01-01-70 01:46,,,01-01-70 01:46,46:11.0,,,46:11.0,48:11.0,,,48:11.0,48:22.0
18,pm_08,,,01-01-70 01:40,01-01-70 01:44,01-01-70,01-01-70 01:44,01-01-70 01:50,01-01-70 01:52,,,01-01-70 01:52,52:11.0,,,52:11.0,54:11.0,,,54:11.0,54:22.0
19,pm_09,,,01-01-70 01:46,01-01-70 01:50,01-01-70,01-01-70 01:50,01-01-70 01:56,01-01-70 01:58,,,01-01-70 01:58,58:11.0,,,58:11.0,00:11.0,,,00:11.0,00:22.0
20,pm_10,,,01-01-70 01:52,01-01-70 01:56,01-01-70,01-01-70 01:56,01-01-70 02:02,01-01-70 02:04,,,01-01-70 02:04,04:11.0,,,04:11.0,06:11.0,,,06:11.0,06:22.0
21,pm_01,,,01-01-70 01:58,01-01-70 02:02,01-01-70,01-01-70 02:02,01-01-70 02:08,01-01-70 02:10,,,01-01-70 02:10,10:11.0,,,10:11.0,12:11.0,,,12:11.0,12:22.0
22,pm_02,,,01-01-70 02:04,01-01-70 02:08,01-01-70,01-01-70 02:08,01-01-70 02:14,01-01-70 02:16,,,01-01-70 02:16,16:11.0,,,16:11.0,18:11.0,,,18:11.0,18:22.0
23,pm_03,,,01-01-70 02:10,01-01-70 02:14,01-01-70,01-01-70 02:14,01-01-70 02:20,01-01-70 02:22,,,01-01-70 02:22,22:11.0,,,22:11.0,24:11.0,,,24:11.0,24:22.0
24,pm_04,,,01-01-70 02:16,01-01-70 02:20,01-01-70,01-01-70 02:20,01-01-70 02:26,01-01-70 02:28,,,01-01-70 02:28,28:11.0,,,28:11.0,30:11.0,,,30:11.0,30:22.0
25,pm_05,,,01-01-70 02:22,01-01-70 02:26,01-01-70,01-01-70 02:26,01-01-70 02:32,01-01-70 02:34,,,01-01-70 02:34,34:11.0,,,34:11.0,36:11.0,,,36:11.0,36:22.0
26,pm_06,,,01-01-70 02:28,01-01-70 02:32,01-01-70,01-01-70 02:32,01-01-70 02:38,01-01-70 02:40,,,01-01-70 02:40,40:11.0,,,40:11.0,42:11.0,,,42:11.0,42:22.0
27,pm_07,,,01-01-70 02:34,01-01-70 02:38,01-01-70,01-01-70 02:38,01-01-70 02:44,01-01-70 02:46,,,01-01-70 02:46,46:11.0,,,46:11.0,48:11.0,,,48:11.0,48:22.0
28,pm_08,,,01-01-70 02:40,01-01-70 02:44,01-01-70,01-01-70 02:44,01-01-70 02:50,01-01-70 02:52,,,01-01-70 02:52,52:11.0,,,52:11.0,54:11.0,,,54:11.0,54:22.0
29,pm_09,,,01-01-70 02:46,01-01-70 02:50,01-01-70,01-01-70 02:50,01-01-70 02:56,01-01-70 02:58,,,01-01-70 02:58,58:11.0,,,58:11.0,00:11.0,,,00:11.0,00:22.0
30,pm_10,,,01-01-70 02:52,01-01-70 02:56,01-01-70,01-01-70 02:56,01-01-70 03:02,01-01-70 03:04,,,01-01-70 03:04,04:11.0,,,04:11.0,06:11.0,,,06:11.0,06:22.0
31,pm_01,,,01-01-70 02:58,01-01-70 03:02,01-01-70,01-01-70 03:02,01-01-70 03:08,01-01-70 03:10,,,01-01-70 03:10,10:11.0,,,10:11.0,12:11.0,,,12:11.0,12:22.0
32,pm_02,,,01-01-70 03:04,01-01-70 03:08,01-01-70,01-01-70 03:08,01-01-70 03:14,01-01-70 03:16,,,01-01-70 03:16,16:11.0,,,16:11.0,18:11.0,,,18:11.0,18:22.0
33,pm_03,,,01-01-70 03:10,01-01-70 03:14,01-01-70,01-01-70 03:14,01-01-70 03:20,01-01-70 03:22,,,01-01-70 03:22,22:11.0,,,22:11.0,24:11.0,,,24:11.0,24:22.0
34,pm_04,,,01-01-70 03:16,01-01-70 03:20,01-01-70,01-01-70 03:20,01-01-70 03:26,01-01-70 03:28,,,01-01-70 03:28,28:11.0,,,28:11.0,30:11.0,,,30:11.0,30:22.0
