Timestamp,ActivityID,ActivityState,ObjectState,ActivityLabel,object
1970-01-01 00:00:00.000000,074882d5-11bc-421b-bcd6-c7beaa872ba2,START,"{'container level': 50, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:04:00.000000,074882d5-11bc-421b-bcd6-c7beaa872ba2,STOP,"{'container level': 49, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:04:00.000000,aa01ae7f-770c-42d6-a65b-084611780a6a,START,"{'container level': 49, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:08:00.000000,aa01ae7f-770c-42d6-a65b-084611780a6a,STOP,"{'container level': 48, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:10:00.000000,03edfe64-bc4d-49e2-adc0-b59faefc5536,START,"{'container level': 48, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:14:00.000000,03edfe64-bc4d-49e2-adc0-b59faefc5536,STOP,"{'container level': 47, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:16:00.000000,436cd9f5-f1d9-49b5-a051-12fba13f7c9b,START,"{'container level': 47, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:20:00.000000,436cd9f5-f1d9-49b5-a051-12fba13f7c9b,STOP,"{'container level': 46, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:22:00.000000,7eee0ec7-ade6-4fea-9ea8-f49e8c77e50d,START,"{'container level': 46, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:26:00.000000,7eee0ec7-ade6-4fea-9ea8-f49e8c77e50d,STOP,"{'container level': 45, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:28:00.000000,25475845-b5b0-4ee4-80b9-b79016e5186d,START,"{'container level': 45, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:32:00.000000,25475845-b5b0-4ee4-80b9-b79016e5186d,STOP,"{'container level': 44, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:34:00.000000,36a068ce-783a-416d-8854-a6320ca8c860,START,"{'container level': 44, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:38:00.000000,36a068ce-783a-416d-8854-a6320ca8c860,STOP,"{'container level': 43, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:40:00.000000,a1f87411-1c33-4394-93b5-c5d40dfeeff5,START,"{'container level': 43, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:44:00.000000,a1f87411-1c33-4394-93b5-c5d40dfeeff5,STOP,"{'container level': 42, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:46:00.000000,708f6460-516f-4481-b87f-131b91522bc6,START,"{'container level': 42, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:50:00.000000,708f6460-516f-4481-b87f-131b91522bc6,STOP,"{'container level': 41, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:52:00.000000,dbdf00cf-e8a3-4faa-9776-a02f5c8ba73a,START,"{'container level': 41, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:56:00.000000,dbdf00cf-e8a3-4faa-9776-a02f5c8ba73a,STOP,"{'container level': 40, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 00:58:00.000000,9ce766ae-fcc5-480d-92ed-5b7b27255aed,START,"{'container level': 40, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:02:00.000000,9ce766ae-fcc5-480d-92ed-5b7b27255aed,STOP,"{'container level': 39, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:04:00.000000,7f299faa-565f-4efc-aa2b-ef868909d92d,START,"{'container level': 39, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:08:00.000000,7f299faa-565f-4efc-aa2b-ef868909d92d,STOP,"{'container level': 38, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:10:00.000000,1773047e-ac61-45fc-b84b-9a00515380e7,START,"{'container level': 38, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:14:00.000000,1773047e-ac61-45fc-b84b-9a00515380e7,STOP,"{'container level': 37, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:16:00.000000,8fc66647-9b4c-4e2c-8bc7-80089560eac5,START,"{'container level': 37, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:20:00.000000,8fc66647-9b4c-4e2c-8bc7-80089560eac5,STOP,"{'container level': 36, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:22:00.000000,b220676b-87d7-4f23-8136-3d61f7e6addc,START,"{'container level': 36, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:26:00.000000,b220676b-87d7-4f23-8136-3d61f7e6addc,STOP,"{'container level': 35, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:28:00.000000,16446a82-d0de-44e5-adb2-4913d5e141c2,START,"{'container level': 35, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:32:00.000000,16446a82-d0de-44e5-adb2-4913d5e141c2,STOP,"{'container level': 34, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:34:00.000000,99565090-8e5b-4224-a9ba-104eebd14fa2,START,"{'container level': 34, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:38:00.000000,99565090-8e5b-4224-a9ba-104eebd14fa2,STOP,"{'container level': 33, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:40:00.000000,e5118e7c-7d54-476a-b4a0-d908a11fd9d9,START,"{'container level': 33, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:44:00.000000,e5118e7c-7d54-476a-b4a0-d908a11fd9d9,STOP,"{'container level': 32, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:46:00.000000,86ac83e7-53b0-43b5-8a82-2721fceb8661,START,"{'container level': 32, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
1970-01-01 01:50:00.000000,86ac83e7-53b0-43b5-8a82-2721fceb8661,STOP,"{'container level': 31, 'geometry': <POINT (24.311 56.363)>}",{},vessel01
