teu_id,pm_name,qc_pick_wait_start,qc_pick_wait_stop,qc_pick_start,qc_pick_stop,qc_transfer_wait_start,qc_transfer_wait_stop,qc_transfer_start,qc_transfer_stop,qc_load_to_pm_wait_start,qc_load_to_pm_wait_stop,qc_load_to_pm_start,qc_load_to_pm_stop,qc_travelback_wait_start,qc_travelback_wait_stop,qc_travelback_start,qc_travelback_stop,pm_travel_to_yard_wait_start,pm_travel_to_yard_wait_stop,pm_travel_to_yard_start,pm_travel_to_yard_stop,pm_unload_wait_start,pm_unload_wait_stop,pm_unload_start,pm_unload_stop,pm_return_wait_start,pm_return_wait_stop,pm_return_start,pm_return_stop
1,pm_01,,,1970-01-01 00:00:00.000000,1970-01-01 00:01:00.000000,1970-01-01,1970-01-01 00:01:00.000000,1970-01-01 00:01:00.000000,1970-01-01 00:03:00.000000,1970-01-01,1970-01-01 00:03:00.000000,1970-01-01 00:03:00.000000,1970-01-01 00:04:00.000000,1970-01-01,1970-01-01 00:04:00.000000,1970-01-01 00:04:00.000000,1970-01-01 00:05:00.000000,1970-01-01,1970-01-01 00:04:00.000000,1970-01-01 00:04:00.000000,1970-01-01 00:35:25.649183,1970-01-01,1970-01-01 00:35:25.649183,1970-01-01 00:35:25.649183,1970-01-01 00:37:25.649183,1970-01-01,1970-01-01 00:37:25.649183,1970-01-01 00:37:25.649183,1970-01-01 01:08:51.298365
2,pm_02,1970-01-01,1970-01-01 00:05:00.000000,1970-01-01 00:05:00.000000,1970-01-01 00:06:00.000000,1970-01-01,1970-01-01 00:06:00.000000,1970-01-01 00:06:00.000000,1970-01-01 00:08:00.000000,1970-01-01,1970-01-01 00:08:00.000000,1970-01-01 00:08:00.000000,1970-01-01 00:09:00.000000,1970-01-01,1970-01-01 00:09:00.000000,1970-01-01 00:09:00.000000,1970-01-01 00:10:00.000000,1970-01-01,1970-01-01 00:09:00.000000,1970-01-01 00:09:00.000000,1970-01-01 00:40:25.649183,1970-01-01,1970-01-01 00:40:25.649183,1970-01-01 00:40:25.649183,1970-01-01 00:42:25.649183,1970-01-01,1970-01-01 00:42:25.649183,1970-01-01 00:42:25.649183,1970-01-01 01:13:51.298365
3,pm_03,1970-01-01,1970-01-01 00:10:00.000000,1970-01-01 00:10:00.000000,1970-01-01 00:11:00.000000,1970-01-01,1970-01-01 00:11:00.000000,1970-01-01 00:11:00.000000,1970-01-01 00:13:00.000000,1970-01-01,1970-01-01 00:13:00.000000,1970-01-01 00:13:00.000000,1970-01-01 00:14:00.000000,1970-01-01,1970-01-01 00:14:00.000000,1970-01-01 00:14:00.000000,1970-01-01 00:15:00.000000,1970-01-01,1970-01-01 00:14:00.000000,1970-01-01 00:14:00.000000,1970-01-01 00:45:25.649183,1970-01-01,1970-01-01 00:45:25.649183,1970-01-01 00:45:25.649183,1970-01-01 00:47:25.649183,1970-01-01,1970-01-01 00:47:25.649183,1970-01-01 00:47:25.649183,1970-01-01 01:18:51.298365
4,pm_04,1970-01-01,1970-01-01 00:15:00.000000,1970-01-01 00:15:00.000000,1970-01-01 00:16:00.000000,1970-01-01,1970-01-01 00:16:00.000000,1970-01-01 00:16:00.000000,1970-01-01 00:18:00.000000,1970-01-01,1970-01-01 00:18:00.000000,1970-01-01 00:18:00.000000,1970-01-01 00:19:00.000000,1970-01-01,1970-01-01 00:19:00.000000,1970-01-01 00:19:00.000000,1970-01-01 00:20:00.000000,1970-01-01,1970-01-01 00:19:00.000000,1970-01-01 00:19:00.000000,1970-01-01 00:50:25.649183,1970-01-01,1970-01-01 00:50:25.649183,1970-01-01 00:50:25.649183,1970-01-01 00:52:25.649183,1970-01-01,1970-01-01 00:52:25.649183,1970-01-01 00:52:25.649183,1970-01-01 01:23:51.298365
5,pm_05,1970-01-01,1970-01-01 00:20:00.000000,1970-01-01 00:20:00.000000,1970-01-01 00:21:00.000000,1970-01-01,1970-01-01 00:21:00.000000,1970-01-01 00:21:00.000000,1970-01-01 00:23:00.000000,1970-01-01,1970-01-01 00:23:00.000000,1970-01-01 00:23:00.000000,1970-01-01 00:24:00.000000,1970-01-01,1970-01-01 00:24:00.000000,1970-01-01 00:24:00.000000,1970-01-01 00:25:00.000000,1970-01-01,1970-01-01 00:24:00.000000,1970-01-01 00:24:00.000000,1970-01-01 00:55:25.649183,1970-01-01,1970-01-01 00:55:25.649183,1970-01-01 00:55:25.649183,1970-01-01 00:57:25.649183,1970-01-01,1970-01-01 00:57:25.649183,1970-01-01 00:57:25.649183,1970-01-01 01:28:51.298365
6,pm_06,1970-01-01,1970-01-01 00:25:00.000000,1970-01-01 00:25:00.000000,1970-01-01 00:26:00.000000,1970-01-01,1970-01-01 00:26:00.000000,1970-01-01 00:26:00.000000,1970-01-01 00:28:00.000000,1970-01-01,1970-01-01 00:28:00.000000,1970-01-01 00:28:00.000000,1970-01-01 00:29:00.000000,1970-01-01,1970-01-01 00:29:00.000000,1970-01-01 00:29:00.000000,1970-01-01 00:30:00.000000,1970-01-01,1970-01-01 00:29:00.000000,1970-01-01 00:29:00.000000,1970-01-01 01:00:25.649183,1970-01-01,1970-01-01 01:00:25.649183,1970-01-01 01:00:25.649183,1970-01-01 01:02:25.649183,1970-01-01,1970-01-01 01:02:25.649183,1970-01-01 01:02:25.649183,1970-01-01 01:33:51.298365
7,pm_07,1970-01-01,1970-01-01 00:30:00.000000,1970-01-01 00:30:00.000000,1970-01-01 00:31:00.000000,1970-01-01,1970-01-01 00:31:00.000000,1970-01-01 00:31:00.000000,1970-01-01 00:33:00.000000,1970-01-01,1970-01-01 00:33:00.000000,1970-01-01 00:33:00.000000,1970-01-01 00:34:00.000000,1970-01-01,1970-01-01 00:34:00.000000,1970-01-01 00:34:00.000000,1970-01-01 00:35:00.000000,1970-01-01,1970-01-01 00:34:00.000000,1970-01-01 00:34:00.000000,1970-01-01 01:05:25.649183,1970-01-01,1970-01-01 01:05:25.649183,1970-01-01 01:05:25.649183,1970-01-01 01:07:25.649183,1970-01-01,1970-01-01 01:07:25.649183,1970-01-01 01:07:25.649183,1970-01-01 01:38:51.298365
8,pm_08,1970-01-01,1970-01-01 00:35:00.000000,1970-01-01 00:35:00.000000,1970-01-01 00:36:00.000000,1970-01-01,1970-01-01 00:36:00.000000,1970-01-01 00:36:00.000000,1970-01-01 00:38:00.000000,1970-01-01,1970-01-01 00:38:00.000000,1970-01-01 00:38:00.000000,1970-01-01 00:39:00.000000,1970-01-01,1970-01-01 00:39:00.000000,1970-01-01 00:39:00.000000,1970-01-01 00:40:00.000000,1970-01-01,1970-01-01 00:39:00.000000,1970-01-01 00:39:00.000000,1970-01-01 01:10:25.649183,1970-01-01,1970-01-01 01:10:25.649183,1970-01-01 01:10:25.649183,1970-01-01 01:12:25.649183,1970-01-01,1970-01-01 01:12:25.649183,1970-01-01 01:12:25.649183,1970-01-01 01:43:51.298365
9,pm_09,1970-01-01,1970-01-01 00:40:00.000000,1970-01-01 00:40:00.000000,1970-01-01 00:41:00.000000,1970-01-01,1970-01-01 00:41:00.000000,1970-01-01 00:41:00.000000,1970-01-01 00:43:00.000000,1970-01-01,1970-01-01 00:43:00.000000,1970-01-01 00:43:00.000000,1970-01-01 00:44:00.000000,1970-01-01,1970-01-01 00:44:00.000000,1970-01-01 00:44:00.000000,1970-01-01 00:45:00.000000,1970-01-01,1970-01-01 00:44:00.000000,1970-01-01 00:44:00.000000,1970-01-01 01:15:25.649183,1970-01-01,1970-01-01 01:15:25.649183,1970-01-01 01:15:25.649183,1970-01-01 01:17:25.649183,1970-01-01,1970-01-01 01:17:25.649183,1970-01-01 01:17:25.649183,1970-01-01 01:48:51.298365
10,pm_10,1970-01-01,1970-01-01 00:45:00.000000,1970-01-01 00:45:00.000000,1970-01-01 00:46:00.000000,1970-01-01,1970-01-01 00:46:00.000000,1970-01-01 00:46:00.000000,1970-01-01 00:48:00.000000,1970-01-01,1970-01-01 00:48:00.000000,1970-01-01 00:48:00.000000,1970-01-01 00:49:00.000000,1970-01-01,1970-01-01 00:49:00.000000,1970-01-01 00:49:00.000000,1970-01-01 00:50:00.000000,1970-01-01,1970-01-01 00:49:00.000000,1970-01-01 00:49:00.000000,1970-01-01 01:20:25.649183,1970-01-01,1970-01-01 01:20:25.649183,1970-01-01 01:20:25.649183,1970-01-01 01:22:25.649183,1970-01-01,1970-01-01 01:22:25.649183,1970-01-01 01:22:25.649183,1970-01-01 01:53:51.298365
11,pm_01,1970-01-01,1970-01-01 00:50:00.000000,1970-01-01 00:50:00.000000,1970-01-01 00:51:00.000000,1970-01-01,1970-01-01 00:51:00.000000,1970-01-01 00:51:00.000000,1970-01-01 00:53:00.000000,1970-01-01,1970-01-01 01:08:51.298365,1970-01-01 01:08:51.298365,1970-01-01 01:09:51.298365,1970-01-01,1970-01-01 01:09:51.298365,1970-01-01 01:09:51.298365,1970-01-01 01:10:51.298365,1970-01-01,1970-01-01 01:09:51.298365,1970-01-01 01:09:51.298365,1970-01-01 01:41:16.947548,1970-01-01,1970-01-01 01:41:16.947548,1970-01-01 01:41:16.947548,1970-01-01 01:43:16.947548,1970-01-01,1970-01-01 01:43:16.947548,1970-01-01 01:43:16.947548,1970-01-01 02:14:42.596730
12,pm_02,1970-01-01,1970-01-01 01:10:51.298365,1970-01-01 01:10:51.298365,1970-01-01 01:11:51.298365,1970-01-01,1970-01-01 01:11:51.298365,1970-01-01 01:11:51.298365,1970-01-01 01:13:51.298365,1970-01-01,1970-01-01 01:13:51.298365,1970-01-01 01:13:51.298365,1970-01-01 01:14:51.298365,1970-01-01,1970-01-01 01:14:51.298365,1970-01-01 01:14:51.298365,1970-01-01 01:15:51.298365,1970-01-01,1970-01-01 01:14:51.298365,1970-01-01 01:14:51.298365,1970-01-01 01:46:16.947548,1970-01-01,1970-01-01 01:46:16.947548,1970-01-01 01:46:16.947548,1970-01-01 01:48:16.947548,1970-01-01,1970-01-01 01:48:16.947548,1970-01-01 01:48:16.947548,1970-01-01 02:19:42.596730
13,pm_03,1970-01-01,1970-01-01 01:15:51.298365,1970-01-01 01:15:51.298365,1970-01-01 01:16:51.298365,1970-01-01,1970-01-01 01:16:51.298365,1970-01-01 01:16:51.298365,1970-01-01 01:18:51.298365,1970-01-01,1970-01-01 01:18:51.298365,1970-01-01 01:18:51.298365,1970-01-01 01:19:51.298365,1970-01-01,1970-01-01 01:19:51.298365,1970-01-01 01:19:51.298365,1970-01-01 01:20:51.298365,1970-01-01,1970-01-01 01:19:51.298365,1970-01-01 01:19:51.298365,1970-01-01 01:51:16.947548,1970-01-01,1970-01-01 01:51:16.947548,1970-01-01 01:51:16.947548,1970-01-01 01:53:16.947548,1970-01-01,1970-01-01 01:53:16.947548,1970-01-01 01:53:16.947548,1970-01-01 02:24:42.596730
14,pm_04,1970-01-01,1970-01-01 01:20:51.298365,1970-01-01 01:20:51.298365,1970-01-01 01:21:51.298365,1970-01-01,1970-01-01 01:21:51.298365,1970-01-01 01:21:51.298365,1970-01-01 01:23:51.298365,1970-01-01,1970-01-01 01:23:51.298365,1970-01-01 01:23:51.298365,1970-01-01 01:24:51.298365,1970-01-01,1970-01-01 01:24:51.298365,1970-01-01 01:24:51.298365,1970-01-01 01:25:51.298365,1970-01-01,1970-01-01 01:24:51.298365,1970-01-01 01:24:51.298365,1970-01-01 01:56:16.947548,1970-01-01,1970-01-01 01:56:16.947548,1970-01-01 01:56:16.947548,1970-01-01 01:58:16.947548,1970-01-01,1970-01-01 01:58:16.947548,1970-01-01 01:58:16.947548,1970-01-01 02:29:42.596730
15,pm_05,1970-01-01,1970-01-01 01:25:51.298365,1970-01-01 01:25:51.298365,1970-01-01 01:26:51.298365,1970-01-01,1970-01-01 01:26:51.298365,1970-01-01 01:26:51.298365,1970-01-01 01:28:51.298365,1970-01-01,1970-01-01 01:28:51.298365,1970-01-01 01:28:51.298365,1970-01-01 01:29:51.298365,1970-01-01,1970-01-01 01:29:51.298365,1970-01-01 01:29:51.298365,1970-01-01 01:30:51.298365,1970-01-01,1970-01-01 01:29:51.298365,1970-01-01 01:29:51.298365,1970-01-01 02:01:16.947548,1970-01-01,1970-01-01 02:01:16.947548,1970-01-01 02:01:16.947548,1970-01-01 02:03:16.947548,1970-01-01,1970-01-01 02:03:16.947548,1970-01-01 02:03:16.947548,1970-01-01 02:34:42.596730
16,pm_06,1970-01-01,1970-01-01 01:30:51.298365,1970-01-01 01:30:51.298365,1970-01-01 01:31:51.298365,1970-01-01,1970-01-01 01:31:51.298365,1970-01-01 01:31:51.298365,1970-01-01 01:33:51.298365,1970-01-01,1970-01-01 01:33:51.298365,1970-01-01 01:33:51.298365,1970-01-01 01:34:51.298365,1970-01-01,1970-01-01 01:34:51.298365,1970-01-01 01:34:51.298365,1970-01-01 01:35:51.298365,1970-01-01,1970-01-01 01:34:51.298365,1970-01-01 01:34:51.298365,1970-01-01 02:06:16.947548,1970-01-01,1970-01-01 02:06:16.947548,1970-01-01 02:06:16.947548,1970-01-01 02:08:16.947548,1970-01-01,1970-01-01 02:08:16.947548,1970-01-01 02:08:16.947548,1970-01-01 02:39:42.596730
