teu_id,pm_name,qc_pick_start_min,qc_pick_stop_min,qc_transfer_start_min,qc_transfer_stop_min,qc_load_to_pm_start_min,qc_load_to_pm_stop_min,qc_travelback_start_min,qc_travelback_stop_min,pm_travel_to_yard_start_min,pm_travel_to_yard_stop_min,pm_unload_start_min,pm_unload_stop_min,pm_return_start_min,pm_return_stop_min
1,pm_01,0.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,4.0,35.42748638333333,35.42748638333333,37.42748638333333,37.42748638333333,68.85497274999999
2,pm_02,5.0,6.0,6.0,8.0,8.0,9.0,9.0,10.0,9.0,40.42748638333333,40.42748638333333,42.42748638333333,42.42748638333333,73.85497274999999
3,pm_03,10.0,11.0,11.0,13.0,13.0,14.0,14.0,15.0,14.0,45.42748638333333,45.42748638333333,47.42748638333333,47.42748638333333,78.85497274999999
4,pm_04,15.0,16.0,16.0,18.0,18.0,19.0,19.0,20.0,19.0,50.42748638333333,50.42748638333333,52.42748638333333,52.42748638333333,83.85497274999999
5,pm_05,20.0,21.0,21.0,23.0,23.0,24.0,24.0,25.0,24.0,55.42748638333333,55.42748638333333,57.42748638333333,57.42748638333333,88.85497274999999
6,pm_06,25.0,26.0,26.0,28.0,28.0,29.0,29.0,30.0,29.0,60.42748638333333,60.42748638333333,62.42748638333333,62.42748638333333,93.85497274999999
7,pm_07,30.0,31.0,31.0,33.0,33.0,34.0,34.0,35.0,34.0,65.42748638333333,65.42748638333333,67.42748638333333,67.42748638333333,98.85497274999999
8,pm_08,35.0,36.0,36.0,38.0,38.0,39.0,39.0,40.0,39.0,70.42748638333335,70.42748638333335,72.42748638333335,72.42748638333335,103.85497274999999
9,pm_09,40.0,41.0,41.0,43.0,43.0,44.0,44.0,45.0,44.0,75.42748638333335,75.42748638333335,77.42748638333335,77.42748638333335,108.85497274999999
10,pm_10,45.0,46.0,46.0,48.0,48.0,49.0,49.0,50.0,49.0,80.42748638333335,80.42748638333335,82.42748638333335,82.42748638333335,113.85497274999999
11,pm_01,50.0,51.0,51.0,53.0,68.85497274999999,69.85497274999999,69.85497274999999,70.85497274999999,69.85497274999999,101.28245913333333,101.28245913333333,103.28245913333333,103.28245913333333,134.7099455
12,pm_02,70.85497274999999,71.85497274999999,71.85497274999999,73.85497274999999,73.85497274999999,74.85497274999999,74.85497274999999,75.85497274999999,74.85497274999999,106.28245913333333,106.28245913333333,108.28245913333333,108.28245913333333,139.70994549999998
13,pm_03,75.85497274999999,76.85497274999999,76.85497274999999,78.85497274999999,78.85497274999999,79.85497274999999,79.85497274999999,80.85497274999999,79.85497274999999,111.28245913333333,111.28245913333333,113.28245913333333,113.28245913333333,144.70994549999998
