teu_id,pm_name,qc_pick_start_min,qc_load_to_pm_stop_min,pm_travel_to_yard_stop_min,pm_unload_stop_min,pm_return_stop_min
1,pm_01,00:00,04:00,35:26,37:26,68:51
2,pm_02,05:00,09:00,40:26,42:26,73:51
3,pm_03,10:00,14:00,45:26,47:26,78:51
4,pm_04,15:00,19:00,50:26,52:26,83:51
5,pm_05,20:00,24:00,55:26,57:26,88:51
6,pm_06,25:00,29:00,60:26,62:26,93:51
7,pm_07,30:00,34:00,65:26,67:26,98:51
8,pm_08,35:00,39:00,70:26,72:26,103:51
9,pm_09,40:00,44:00,75:26,77:26,108:51
10,pm_10,45:00,49:00,80:26,82:26,113:51
11,pm_01,50:00,69:51,101:17,103:17,134:43
12,pm_02,70:51,74:51,106:17,108:17,139:43
13,pm_03,75:51,79:51,111:17,113:17,144:43
14,pm_04,80:51,84:51,116:17,118:17,149:43
15,pm_05,85:51,89:51,121:17,123:17,154:43
16,pm_06,90:51,94:51,126:17,128:17,159:43
17,pm_07,95:51,99:51,131:17,133:17,164:43
18,pm_08,100:51,104:51,136:17,138:17,169:43
19,pm_09,105:51,109:51,141:17,143:17,174:43
20,pm_10,110:51,114:51,146:17,148:17,179:43
21,pm_01,115:51,135:43,167:08,169:08,200:34
22,pm_02,136:43,140:43,172:08,174:08,205:34
23,pm_03,141:43,145:43,177:08,179:08,210:34
24,pm_04,146:43,150:43,182:08,184:08,215:34
25,pm_05,151:43,155:43,187:08,189:08,220:34
26,pm_06,156:43,160:43,192:08,194:08,225:34
27,pm_07,161:43,165:43,197:08,199:08,230:34
28,pm_08,166:43,170:43,202:08,204:08,235:34
29,pm_09,171:43,175:43,207:08,209:08,240:34
30,pm_10,176:43,180:43,212:08,214:08,245:34
31,pm_01,181:43,201:34,232:59,234:59,266:25
32,pm_02,202:34,206:34,237:59,239:59,271:25
33,pm_03,207:34,211:34,242:59,244:59,276:25
34,pm_04,212:34,216:34,247:59,249:59,281:25
35,pm_05,217:34,221:34,252:59,254:59,286:25
36,pm_06,222:34,226:34,257:59,259:59,291:25
37,pm_07,227:34,231:34,262:59,264:59,296:25
38,pm_08,232:34,236:34,267:59,269:59,301:25
39,pm_09,237:34,241:34,272:59,274:59,306:25
40,pm_10,242:34,246:34,277:59,279:59,311:25
41,pm_01,247:34,267:25,298:51,300:51,332:16
42,pm_02,268:25,272:25,303:51,305:51,337:16
43,pm_03,273:25,277:25,308:51,310:51,342:16
44,pm_04,278:25,282:25,313:51,315:51,347:16
45,pm_05,283:25,287:25,318:51,320:51,352:16
46,pm_06,288:25,292:25,323:51,325:51,357:16
47,pm_07,293:25,297:25,328:51,330:51,362:16
48,pm_08,298:25,302:25,333:51,335:51,367:16
49,pm_09,303:25,307:25,338:51,340:51,372:16
50,pm_10,308:25,312:25,343:51,345:51,377:16
